provider,provider_category,classification_source
Museum of Popular Arts and Customs of Seville,art/history museum,provider_name
Lázaro Galdiano Museum,art/history museum,provider_name
Library Ciconia,library/archive,provider_name
National Museum of Romanticism,art/history museum,provider_name
Virtual Law Library of Aragon,library/archive,provider_name
Eusko Jaurlaritza - Gobierno Vasco,government/administrative body,provider_name
Collective Catalog of the Library Network of the State Archives,library/archive,provider_name
Jaén Museum,art/history museum,provider_name
National Museum of Anthropology,art/history museum,provider_name
Archivo de la Diputación Provincial de Cáceres,library/archive,provider_name
Cerralbo Museum,art/history museum,provider_name
National Museum of Underwater Archaeology,art/history museum,provider_name
Dadun: Digital Academic Repository of the University of Navarra,library/archive,provider_name
Trencadís. The Municipal Library Network of the Diputació de Barcelona,library/archive,provider_name
Sancho el Sabio Foundation,library/archive,wikidata_sparql_fallback
Frederic Marès Museum,art/history museum,provider_name
University Institute for Research in Iberian Archeology,art/history museum,provider_name
Repository of the Catholic University of Valencia San Vicente Mártir,library/archive,provider_name
National Theatre Museum,art/history museum,provider_name
University of Barcelona. Digital Heritage Library,library/archive,provider_name
"Minerva, Institutional Repository of the University of Santiago de Compostela",library/archive,provider_name
Archivo de la Diputación de Castellón,library/archive,provider_name
"Bitoteko, Hispanic Esperanto Federation Library",library/archive,provider_name
Museo Etnológico de Ribadavia,art/history museum,provider_name
Diocesan Seminary of Vitoria-Gasteiz,other,unmatched
Dialnet,library/archive,wikidata_sparql_fallback
Museum of the Asturian People,art/history museum,provider_name
González Martí National Museum of Ceramics and Sumptuary Arts,art/history museum,provider_name
National Museum and Research Center of Altamira,art/history museum,provider_name
Museum of Teruel,art/history museum,provider_name
Museum of Navarra,art/history museum,provider_name
University of Oviedo,academic/research institution,provider_name
Document Repository of the University of Valladolid,library/archive,provider_name
Casa de los Tiros Museum,art/history museum,provider_name
Archivo de la Diputación Provincial de Badajoz,library/archive,provider_name
Repository of Teaching and Research Objects of the University of Cádiz,library/archive,provider_name
Capuchin Central Library of Spain,library/archive,provider_name
Institutional Repository of the University of Malaga,library/archive,provider_name
Naturalis Biodiversity Center,natural history/science institution,wikidata_description
"KB, National Library of the Netherlands",library/archive,provider_name
Cultural Heritage Agency of the Netherlands,other,name_description_conflict
Rijksmuseum,art/history museum,wikidata_description
National Archives of the Netherlands,library/archive,provider_name
Internet Archive,library/archive,provider_name
International Institute of Social History,academic/research institution,wikidata_description
The Utrecht Archives,library/archive,provider_name
National Museum of Antiquities,art/history museum,provider_name
Historical Information Center of Brabant,other,unmatched
Netherlands Institute for Sound & Vision,audiovisual/film archive,provider_name
Association De Hollandsche Molen,other,unmatched
Museon-Omniversum,art/history museum,wikidata_description
Municipal Archives of Zaanstad,library/archive,provider_name
Gooi en Vechtstreek Archive,library/archive,provider_name
Netherlands Institute for Military History,government/administrative body,wikidata_description
Historic Center Limburg,other,unmatched
IMSLP/Petrucci Music Library,audiovisual/film archive,provider_name
City Archives Breda,library/archive,provider_name
St. Catherine's Convent Museum,art/history museum,provider_name
Museum Rotterdam,art/history museum,provider_name
Paul Van Riel,art/history museum,wikidata_description
Batavialand,art/history museum,wikidata_description
Historic Center Leeuwarden,other,unmatched
"Municipal Archive, Schiedam",library/archive,provider_name
Municipal Archives of Weert,library/archive,provider_name
KNAW-DANS,other,unmatched
Regional Archive Nijmegen,library/archive,provider_name
City Archives' s-Hertogenbosch,library/archive,provider_name
CODA Museum,art/history museum,provider_name
CARARE,other,unmatched
Municipal Archives of Ede en Scherpenzeel,library/archive,provider_name
Zutphen Regional Archive,library/archive,provider_name
Regional Archive Langstraat Heusden Altena,library/archive,provider_name
Rijksmuseum Boerhaave,art/history museum,wikidata_description
Municipal Archives of Tholen,library/archive,provider_name
Municipal Archives of Barneveld,library/archive,provider_name
Zuiderzee Museum,art/history museum,provider_name
The Language Archive,library/archive,provider_name
National Museum of World Cultures Foundation,art/history museum,provider_name
Heritage Rijssen-Holten,other,unmatched
Digital Library for Dutch Literature,library/archive,provider_name
The province of North Holland,government/administrative body,provider_name
International Military Tribunal at Nuremberg,other,unmatched
Leiden University Libraries,library/archive,provider_name
Amsterdam Museum,art/history museum,provider_name
Loevestein Castle,art/history museum,provider_name
City Museum Zutphen,art/history museum,provider_name
Textile Research Centre Leiden,academic/research institution,provider_name
Regional Archives Tilburg,library/archive,provider_name
Geldersch Landschap & Kasteelen,other,unmatched
VU University Amsterdam Library,library/archive,provider_name
Fries Museum,art/history museum,provider_name
Valkhof Museum,art/history museum,provider_name
"The Dutch Olympic Committee, Dutch Sports Federation",other,unmatched
National Organ Museum,art/history museum,provider_name
EYE Film Museum,other,name_description_conflict
IHLIA LGBTI Heritage,library/archive,wikidata_description
Castle Huis Bergh,art/history museum,provider_name
Textile Museum,art/history museum,provider_name
Heritage Leiden,library/archive,wikidata_description
Anne Frank House,art/history museum,wikidata_description
Arnhem museum,art/history museum,provider_name
De Looierij,art/history museum,wikidata_description
Leo Smit foundation,other,unmatched
Mauritshuis,art/history museum,wikidata_description
Museum Krona,art/history museum,provider_name
Airborne Museum 'Hartenstein',art/history museum,provider_name
Freedom Museum,art/history museum,provider_name
Historische Kring Huessen,art/history museum,wikidata_sparql_fallback
Deelen Airbase Museum,art/history museum,provider_name
Museum Klok & Peel,art/history museum,provider_name
Groningen Historic Churches Foundation,other,unmatched
Archive and Documentation Center for RK Friesland,library/archive,provider_name
Museum Het Pakhuis,art/history museum,provider_name
Historische Kring Midden-Betuwe,other,unmatched
Kijk & Luistermuseum,art/history museum,wikidata_description
Tilburg University,academic/research institution,provider_name
Streekmuseum de Roode Tooren,art/history museum,wikidata_description
Huis van Hilde,art/history museum,wikidata_sparql_fallback
Water board of Schieland and the Krimpenerwaard,other,unmatched
Zaans Museum,art/history museum,provider_name
Historical Image Archive for Migrants,library/archive,provider_name
Museum Nijkerk,art/history museum,provider_name
Rauws Wicker Chair Collection,other,unmatched
Museumpark Orientalis,art/history museum,wikidata_sparql_fallback
Museum Tweestromenland,art/history museum,provider_name
Provinciaal Depot Bodemvondsten,other,unmatched
Museum De Scheper,art/history museum,provider_name
Elisabeth Weeshuis Museum,art/history museum,provider_name
European Fashion Heritage Association,other,unmatched
Stichting tot Behoud van den Doornenburg,other,unmatched
Centraal Museum Utrecht,art/history museum,provider_name
Heemkundekring Bergh,other,unmatched
Historische Vereniging Voorst,government/administrative body,wikidata_description
Kunstmuseum Den Haag,art/history museum,wikidata_description
Bonnefantenmuseum Maastricht,other,unmatched
City Museum Harderwijk,art/history museum,provider_name
City Museum Prinsenhof,art/history museum,provider_name
Museum Boijmans Van Beuningen,art/history museum,provider_name
Institute for Tropical Scientific Research,natural history/science institution,provider_name
National Library of Portugal,library/archive,provider_name
Portuguese Army Library,library/archive,provider_name
Azores Regional Directorate for Culture,other,unmatched
University of Porto,academic/research institution,provider_name
Calouste Gulbenkian Foundation,other,unmatched
MUDE – Museu do Design,art/history museum,provider_name
Assembly of the Republic - Library,library/archive,provider_name
Fernando Pessoa's House,other,unmatched
University of Coimbra,academic/research institution,provider_name
Lisbon's Film & Theatre School,other,unmatched
Madeira Archives and Library,library/archive,provider_name
Cinemateca Portuguesa - Museu do cinema,audiovisual/film archive,provider_name
Radio and Television of Portugal,media/broadcast organization,provider_name
Madeira Arts Library,library/archive,provider_name
Lisbon Newspaper Library,library/archive,provider_name
April 25th Documentation Center of Coimbra University,academic/research institution,provider_name
The Commission for Citizenship and Gender Equality,other,unmatched
Division of Archives and Library of the Ministry of Foreign Affairs,library/archive,provider_name
Portuguese Court of Auditors,government/administrative body,provider_name
PÉDEXUMBO - Associação para a Promoção da Música e Dança,other,unmatched
Library of the National Republican Guard,library/archive,provider_name
Douro Museum,art/history museum,provider_name
The Romanesque Rout,other,unmatched
Municipal Public Library of Porto,library/archive,provider_name
Open University - Portugal,academic/research institution,provider_name
Seminar on the History of Ideas,other,unmatched
Assembleia da República - Arquivo Histórico Parlamentar,library/archive,provider_name
Supreme Court of Justice,government/administrative body,provider_name
National Museum of Ancient Art,art/history museum,provider_name
"National Archives Torre do Tombo, Lisbon",library/archive,provider_name
Montalegre Municipal Library,library/archive,provider_name
"Ajuda Library, Lisbon",library/archive,provider_name
Chiado Museum - National Museum of Contemporary Art,art/history museum,provider_name
"Church of S. Roque, Lisbon",other,unmatched
"Municipal Library Anselmo Braamcamp Freire, Santarém",library/archive,provider_name
Museums and Monuments of Portugal,other,unmatched
National Coach Museum,art/history museum,provider_name
"National Museum of Grao Vasco, Viseu",art/history museum,provider_name
Sarmento's House,other,unmatched
