provider,country,count,provider_category,classification_source
Fernando Pessoa's House,portugal,1210,art/history museum,manual_override
University of Coimbra,portugal,1155,academic/research institution,provider_name
Lisbon's Film & Theatre School,portugal,774,academic/research institution,manual_override
Madeira Archives and Library,portugal,685,library/archive,provider_name
Cinemateca Portuguesa - Museu do cinema,portugal,654,audiovisual/film archive,provider_name
Radio and Television of Portugal,portugal,504,media/broadcast organization,provider_name
Madeira Arts Library,portugal,470,library/archive,provider_name
Lisbon Newspaper Library,portugal,468,library/archive,provider_name
April 25th Documentation Center of Coimbra University,portugal,337,academic/research institution,provider_name
The Commission for Citizenship and Gender Equality,portugal,311,government/administrative body,manual_override
Division of Archives and Library of the Ministry of Foreign Affairs,portugal,158,library/archive,provider_name
Portuguese Court of Auditors,portugal,119,government/administrative body,provider_name
PÉDEXUMBO - Associação para a Promoção da Música e Dança,portugal,91,other,manual_override
Library of the National Republican Guard,portugal,70,library/archive,provider_name
Douro Museum,portugal,51,art/history museum,provider_name
The Romanesque Rout,portugal,50,other,manual_override
Municipal Public Library of Porto,portugal,47,library/archive,provider_name
Open University - Portugal,portugal,35,academic/research institution,provider_name
Seminar on the History of Ideas,portugal,34,other,manual_override
Assembleia da República - Arquivo Histórico Parlamentar,portugal,15,library/archive,provider_name
Supreme Court of Justice,portugal,6,government/administrative body,provider_name
National Museum of Ancient Art,portugal,2,art/history museum,provider_name
"National Archives Torre do Tombo, Lisbon",portugal,2,library/archive,provider_name
Montalegre Municipal Library,portugal,2,library/archive,provider_name
"Ajuda Library, Lisbon",portugal,1,library/archive,provider_name
Chiado Museum - National Museum of Contemporary Art,portugal,1,art/history museum,provider_name
"Church of S. Roque, Lisbon",portugal,1,other,manual_override
"Municipal Library Anselmo Braamcamp Freire, Santarém",portugal,1,library/archive,provider_name
Museums and Monuments of Portugal,portugal,1,art/history museum,manual_override
National Coach Museum,portugal,1,art/history museum,provider_name
"National Museum of Grao Vasco, Viseu",portugal,1,art/history museum,provider_name
Sarmento's House,portugal,1,other,manual_override
Virtual Library of Historical Press,spain,1735320,library/archive,provider_name
