country,provider,count
Germany,Urban and regional museum in the castle to Lubben,74
Germany,Cologne Women's History Association,74
Germany,RheinMain University of Applied Sciences,70
Germany,Rendsburg Municipal Archive,68
Germany,Museum Eckernförde,61
Germany,Brandenburg Textile Museum,60
Germany,Lippmann-Rau Music Archive,60
Germany,German Informatics Society,60
Germany,Museum Abtei Liesborn,59
Germany,Heikendorf Art Museum - Kiel Fjord,54
Germany,Academy of Sciences and Literature Mainz,54
Germany,Local History Museum an der Mühle,53
Germany,Landesfilmsammlung Baden-Württemberg,52
Germany,Posterstein Castle Museum,51
Germany,KERAMIK.UM Ausstellungs- und Aktionshaus Fredelsloh,51
Germany,The German Sport and Olympic Museum,49
Germany,ASSETS,49
Germany,Alfred Wegener Museum,47
Germany,SciFox,46
Germany,"Gustaf Dalman Institute, University of Greifswald",44
Germany,Ethnographic Sound Recordings Archive,44
Germany,Verden District Archives,43
Germany,Aquazoo Löbbecke Museum,42
Germany,Cottbus City Museum,39
Germany,"Museum in the Stone Gate, Anklam",38
Germany,Leibniz University Hannover,37
Germany,Madonna – Archive and Documentation Center for SEX WORK,35
Germany,Museum Schloss Fürstenberg,32
Germany,Nikolausberg Museum Local History,32
Germany,Fire Museum Schleswig-Holstein,30
Germany,Museum Schwedenspeicher,27
Germany,University of Potsdam,27
Germany,IMAGINARY gGmbH,26
Germany,Math.space,25
Germany,Larger Than Life,23
Germany,International Union of Crystallography,22
Germany,World Heritage Rammelsberg,20
Germany,Institute of Computer Science - Foundation for Research and Technology Hellas,20
Germany,City Gallery Kiel,19
Germany,Coastal Research Centre,18
Germany,ROM Technik,18
Germany,Helene Lange Archive,17
Germany,Weierstrass Institute,17
Germany,Carl von Ossietzky University of Oldenburg,17
Germany,Laserinstitut Hochschule Mittweida,16
Germany,Short Film Agency Hamburg,16
Germany,University of Applied Sciences Ravensburg-Weingarten,15
Germany,Institute for Social-Ecological Research,13
Germany,Göttingen City Archive,12
Germany,University of Hildesheim Foundation,12
Germany,Herbert Gerisch Foundation,11
Germany,Schleswig-Holstein State Museums Foundation Schloss Gottorf,11
Germany,Brandenburg States Museum of Modern Art,10
Germany,Berlin-Brandenburg Broadcasting,10
Germany,Buchstabenmuseum,10
Germany,New National Gallery,10
Germany,Natural History Museum Leipzig,10
Germany,Helmholtz Centre Potsdam German Research Centre for Geosciences GFZ,10
Germany,City and Industry Museum Guben,10
Germany,Italian National Film Library,9
Germany,Center for Interdisciplinary Research,7
Germany,Nordfriisk Instituut,3
Germany,"Archiv der Berlin-Brandenburgischen Akademie der
         Wissenschaften",2
Germany,Prussian Cultural Heritage Foundation,2
Germany,The Film Museum Potsdam,2
Germany,Polygon Planet,1
Germany,Zentrum für Netzkunst,1
Germany,"Alte Pinakothek, Munich",1
Germany,"Kunstsammlung Nordrhein-Westfalen, Düsseldorf",1
Germany,House of the History of the Federal Republic of Germany,1
Germany,Eidgenössische Technische Hochschule Zürich,1
Germany,Museum for Hamburg History,1
Germany,Thuringian University and State Library Jena,1
Germany,University of Bremen,1
Germany,Elektrocouture,1
Germany,Mainz University of Applied Sciences,1
Germany,"Institut für Film und Bild in Wissenschaft und Unterricht, Abteilung Hochschule und Forschung",1
Germany,"Berlin Gallery, Museum of Modern Art",1
Germany,Jewish Community Wiesbaden,1
Germany,Sprengel Museum Hannover,1
Germany,"Museums Böttcherstrasse, Paula Modersohn-Becker Museum, Bremen",1
