provider,country,count,provider_category,classification_source
Provincial Library of Brindisi,Italy,655,library/archive,provider_name
National Library of Cosenza,Italy,587,library/archive,provider_name
Provincial Library Nicola Bernardini,Italy,570,library/archive,provider_name
State Library of Lucca,Italy,536,library/archive,provider_name
Alinari Foundation for Photography,Italy,498,art/history museum,provider_name
Rossini Foundation,Italy,469,academic/research institution,manual_override
Augusta Municipal Library,Italy,449,library/archive,provider_name
Public Library Pietro Acclavio,Italy,436,library/archive,provider_name
"Cultural Hub of the Museums, Libraries and Archives - Bassano del Grappa",Italy,402,library/archive,provider_name
Angelo Mai Civic Library and Municipal Historical Archives,Italy,401,library/archive,provider_name
University Library of Pavia,Italy,359,library/archive,provider_name
National Library of Attilio Hortis,Italy,359,library/archive,provider_name
Library Charitas of San Francesco di Paola,Italy,328,library/archive,provider_name
AMS Historica Bologna,Italy,302,academic/research institution,manual_override
Franca Rame - Dario Fo Archive,Italy,278,library/archive,provider_name
Municipal Library Giovanni Bovio,Italy,251,library/archive,provider_name
Luigi Einaudi Foundation Library,Italy,240,library/archive,provider_name
The Regional Archives Koper,Italy,227,library/archive,provider_name
National Museum of Cinema,Italy,210,audiovisual/film archive,manual_override
Museum of Agricultural Sciences,Italy,208,art/history museum,provider_name
Roman Philharmonic Academy,Italy,204,audiovisual/film archive,provider_name
Vatican Library,Italy,199,library/archive,provider_name
Institute of Information Science and Technologies 'Alessandro Faedo',Italy,198,academic/research institution,manual_override
Luigi Chiarini Library,Italy,188,library/archive,provider_name
Archive of the Donizetti Museum,Italy,186,library/archive,provider_name
Library of the Institute for the History of Resistance and Contemporary Society,Italy,182,library/archive,provider_name
National Library of Bari,Italy,173,library/archive,provider_name
International Museum and Library of Music,Italy,162,audiovisual/film archive,provider_name
Library of Astronomical Observatory of Capodimonte,Italy,157,library/archive,provider_name
CISA -Interdipartimental Center for Archaeology,Italy,148,academic/research institution,confirmed_fix
Alfonso Rendano Municipal Theater Library,Italy,139,library/archive,provider_name
State Library of Cremona,Italy,131,library/archive,provider_name
Naturalis Biodiversity Center,Netherlands,4601504,natural history/science institution,wikidata_description
"KB, National Library of the Netherlands",Netherlands,987234,library/archive,provider_name
Cultural Heritage Agency of the Netherlands,Netherlands,526228,government/administrative body,confirmed_fix
Rijksmuseum,Netherlands,341407,art/history museum,wikidata_description
National Archives of the Netherlands,Netherlands,283470,library/archive,provider_name
Internet Archive,Netherlands,176784,library/archive,provider_name
International Institute of Social History,Netherlands,165349,academic/research institution,wikidata_description
The Utrecht Archives,Netherlands,159981,library/archive,provider_name
National Museum of Antiquities,Netherlands,141529,art/history museum,provider_name
Historical Information Center of Brabant,Netherlands,118373,library/archive,manual_override
Netherlands Institute for Sound & Vision,Netherlands,98888,audiovisual/film archive,provider_name
Association De Hollandsche Molen,Netherlands,94187,other,manual_override
Museon-Omniversum,Netherlands,93077,natural history/science institution,confirmed_fix
Municipal Archives of Zaanstad,Netherlands,85508,library/archive,provider_name
Gooi en Vechtstreek Archive,Netherlands,79443,library/archive,provider_name
Netherlands Institute for Military History,Netherlands,68648,government/administrative body,wikidata_description
Historic Center Limburg,Netherlands,62704,library/archive,manual_override
IMSLP/Petrucci Music Library,Netherlands,61552,audiovisual/film archive,provider_name
City Archives Breda,Netherlands,60870,library/archive,provider_name
St. Catherine's Convent Museum,Netherlands,60795,art/history museum,provider_name
Museum Rotterdam,Netherlands,60777,art/history museum,provider_name
Paul Van Riel,Netherlands,55165,other,confirmed_fix
Batavialand,Netherlands,53928,art/history museum,wikidata_description
Historic Center Leeuwarden,Netherlands,53417,library/archive,manual_override
"Municipal Archive, Schiedam",Netherlands,52926,library/archive,provider_name
Municipal Archives of Weert,Netherlands,52654,library/archive,provider_name
KNAW-DANS,Netherlands,48118,academic/research institution,manual_override
Regional Archive Nijmegen,Netherlands,47924,library/archive,provider_name
City Archives' s-Hertogenbosch,Netherlands,45614,library/archive,provider_name
CODA Museum,Netherlands,44628,art/history museum,provider_name
CARARE,Netherlands,40920,academic/research institution,manual_override
Municipal Archives of Ede en Scherpenzeel,Netherlands,39824,library/archive,provider_name
Zutphen Regional Archive,Netherlands,31206,library/archive,provider_name
Regional Archive Langstraat Heusden Altena,Netherlands,27321,library/archive,provider_name
Rijksmuseum Boerhaave,Netherlands,27257,art/history museum,wikidata_description
Municipal Archives of Tholen,Netherlands,27160,library/archive,provider_name
Municipal Archives of Barneveld,Netherlands,27145,library/archive,provider_name
Zuiderzee Museum,Netherlands,20552,art/history museum,provider_name
The Language Archive,Netherlands,18392,library/archive,provider_name
National Museum of World Cultures Foundation,Netherlands,17547,art/history museum,provider_name
Heritage Rijssen-Holten,Netherlands,17221,art/history museum,manual_override
Digital Library for Dutch Literature,Netherlands,17043,library/archive,provider_name
The province of North Holland,Netherlands,13273,government/administrative body,provider_name
International Military Tribunal at Nuremberg,Netherlands,9629,other,manual_override
Leiden University Libraries,Netherlands,9087,library/archive,provider_name
Amsterdam Museum,Netherlands,8046,art/history museum,provider_name
Loevestein Castle,Netherlands,7692,art/history museum,provider_name
City Museum Zutphen,Netherlands,6850,art/history museum,provider_name
Textile Research Centre Leiden,Netherlands,6737,academic/research institution,provider_name
Regional Archives Tilburg,Netherlands,6569,library/archive,provider_name
Geldersch Landschap & Kasteelen,Netherlands,5699,other,manual_override
VU University Amsterdam Library,Netherlands,5008,library/archive,provider_name
Fries Museum,Netherlands,4736,art/history museum,provider_name
Valkhof Museum,Netherlands,3553,art/history museum,provider_name
"The Dutch Olympic Committee, Dutch Sports Federation",Netherlands,2738,other,manual_override
National Organ Museum,Netherlands,2707,art/history museum,provider_name
EYE Film Museum,Netherlands,1595,audiovisual/film archive,manual_override
IHLIA LGBTI Heritage,Netherlands,1558,library/archive,wikidata_description
Castle Huis Bergh,Netherlands,1552,art/history museum,provider_name
Textile Museum,Netherlands,1513,art/history museum,provider_name
Heritage Leiden,Netherlands,1314,library/archive,wikidata_description
Anne Frank House,Netherlands,1170,art/history museum,wikidata_description
Arnhem museum,Netherlands,1134,art/history museum,provider_name
De Looierij,Netherlands,1004,art/history museum,wikidata_description
Leo Smit foundation,Netherlands,863,academic/research institution,manual_override
Mauritshuis,Netherlands,832,art/history museum,wikidata_description
Museum Krona,Netherlands,768,art/history museum,provider_name
Airborne Museum 'Hartenstein',Netherlands,738,art/history museum,provider_name
Freedom Museum,Netherlands,547,art/history museum,provider_name
Historische Kring Huessen,Netherlands,465,art/history museum,wikidata_sparql_fallback
Deelen Airbase Museum,Netherlands,399,art/history museum,provider_name
Museum Klok & Peel,Netherlands,369,art/history museum,provider_name
Groningen Historic Churches Foundation,Netherlands,315,other,manual_override
Archive and Documentation Center for RK Friesland,Netherlands,246,library/archive,provider_name
Museum Het Pakhuis,Netherlands,236,art/history museum,provider_name
Historische Kring Midden-Betuwe,Netherlands,218,art/history museum,manual_override
Kijk & Luistermuseum,Netherlands,198,art/history museum,wikidata_description
Tilburg University,Netherlands,195,academic/research institution,provider_name
Streekmuseum de Roode Tooren,Netherlands,159,art/history museum,wikidata_description
Huis van Hilde,Netherlands,139,art/history museum,wikidata_sparql_fallback
Water board of Schieland and the Krimpenerwaard,Netherlands,137,government/administrative body,manual_override
Zaans Museum,Netherlands,119,art/history museum,provider_name
Historical Image Archive for Migrants,Netherlands,112,library/archive,provider_name
Museum Nijkerk,Netherlands,108,art/history museum,provider_name
Rauws Wicker Chair Collection,Netherlands,44,other,manual_override
Museumpark Orientalis,Netherlands,40,art/history museum,wikidata_sparql_fallback
Museum Tweestromenland,Netherlands,31,art/history museum,provider_name
Provinciaal Depot Bodemvondsten,Netherlands,29,other,manual_override
Museum De Scheper,Netherlands,26,art/history museum,provider_name
Elisabeth Weeshuis Museum,Netherlands,24,art/history museum,provider_name
European Fashion Heritage Association,Netherlands,12,other,manual_override
Centraal Museum Utrecht,Netherlands,11,art/history museum,provider_name
Stichting tot Behoud van den Doornenburg,Netherlands,11,other,manual_override
Heemkundekring Bergh,Netherlands,6,other,manual_override
Historische Vereniging Voorst,Netherlands,4,government/administrative body,wikidata_description
Kunstmuseum Den Haag,Netherlands,2,art/history museum,wikidata_description
City Museum Harderwijk,Netherlands,1,art/history museum,provider_name
Museum Boijmans Van Beuningen,Netherlands,1,art/history museum,provider_name
University of Utrecht,Netherlands,1,academic/research institution,provider_name
Bonnefantenmuseum Maastricht,Netherlands,1,art/history museum,manual_override
Institute for Tropical Scientific Research,Portugal,65666,natural history/science institution,provider_name
National Library of Portugal,Portugal,35785,library/archive,provider_name
